Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2021-01-17,2958104,78076,0.0,2880028.0,5284.4801097589725,2.639393341140136
2021-01-18,2992238,78636,0.0,2913602.0,5345.458508106872,2.627999510734106
2021-01-19,3022609,80143,0.0,2942466.0,5399.714526628699,2.6514511139217807
2021-01-20,3057670,81805,0.0,2975865.0,5462.348956360804,2.6754031664633526
2021-01-21,3092041,82939,0.0,3009102.0,5523.750741373274,2.6823383001713106
2021-01-22,3129156,84190,0.0,3044966.0,5590.054522198324,2.690501847782597
2021-01-23,3159652,85423,0.0,3074229.0,5644.533845922983,2.703557227188311
2021-01-24,3187232,85974,0.0,3101258.0,5693.803905875964,2.697450326803948
2021-01-25,3207381,86522,0.0,3120859.0,5729.798918130953,2.697590339283048
2021-01-26,3225301,88042,0.0,3137259.0,5761.811952009032,2.729729721350038
2021-01-27,3248215,89610,0.0,3158605.0,5802.746475350677,2.7587459573950617
2021-01-28,3274397,90698,0.0,3183699.0,5849.519089915179,2.769914582746075
2021-01-29,3301106,91822,0.0,3301106.0,5897.233159214823,2.7815526069141674
2021-01-30,3322195,92920,0.0,3322195.0,5934.907426595114,2.7969459950424342
2021-01-31,3341249,93448,0.0,3341249.0,5968.9462852732895,2.79679844273803
2021-02-01,3358064,93816,0.0,3358064.0,5998.985301158329,2.7937525907784964
2021-02-02,3373085,95172,0.0,3373085.0,6025.819440772314,2.8215120579528827
2021-02-03,3390350,96345,0.0,3390350.0,6056.662355387552,2.8417420030380343
2021-02-04,3408879,97162,0.0,3408879.0,6089.763332213829,2.8502625056506847
2021-02-05,3426193,98054,0.0,3426193.0,6120.6937824685765,2.861893652809401
2021-02-06,3442495,98778,0.0,3343717.0,6149.81635380119,2.869372359291735
2021-02-07,3456961,99107,0.0,3357854.0,6175.6590183146,2.866882212440349
2021-02-08,3469231,99411,0.0,3369820.0,6197.578657024646,2.8655053526271383
2021-02-09,3480147,100385,0.0,3379762.0,6217.079453777608,2.884504591329045
2021-02-10,3491698,101311,0.0,3390387.0,6237.714640960962,2.90148231605368
2021-02-11,3503699,101905,0.0,3401794.0,6259.153726874513,2.90849756214789
2021-02-12,3516998,102562,0.0,3414436.0,6282.911614014277,2.916180219607745
2021-02-13,3528695,103106,0.0,3425589.0,6303.8076216745385,2.921930061963417
2021-02-14,3538194,103334,0.0,3434860.0,6320.777030648193,2.920529513079272
2021-02-15,3546803,103544,0.0,3443259.0,6336.156506577679,2.9193614643948367
2021-02-16,3556039,104277,0.0,3451762.0,6352.656081404572,2.932391911337305
2021-02-17,3566965,104915,0.0,3462050.0,6372.174742573762,2.9412960317805195
2021-02-18,3577705,105292,0.0,3472413.0,6391.361125601136,2.943003964832204
2021-02-19,3588001,105773,0.0,3482228.0,6409.754328548052,2.947964618738958
2021-02-20,3596965,106170,0.0,3490795.0,6425.767991253581,2.951655075876468
2021-02-21,3605373,106360,0.0,3499013.0,6440.788392416913,2.9500415074945088
2021-02-22,3614793,106525,0.0,3508268.0,6457.616672502376,2.9469183989235344
2021-02-23,3622085,107008,0.0,3515077.0,6470.6434048148185,2.95432050876774
2021-02-24,3630729,107388,0.0,3523341.0,6486.085406201096,2.957753112391478
2021-02-25,3639352,107654,0.0,3531698.0,6501.4898923133,2.9580540711643173
2021-02-26,3646745,107954,0.0,3538791.0,6514.697055229629,2.960283759900953
2021-02-27,3653272,108208,0.0,3545064.0,6526.357159700735,2.961947536345501
2021-02-28,3658352,108323,0.0,3550029.0,6535.432283143851,2.960978057879613
2021-03-01,3663090,108422,0.0,3554668.0,6543.8964435520165,2.959850836315788
2021-03-02,3668620,108729,0.0,3559891.0,6553.775465725331,2.963757489192121
2021-03-03,3674028,108993,0.0,3565035.0,6563.43654202068,2.966580548651235
2021-03-04,3679671,109195,0.0,3570476.0,6573.517432097354,2.967520737587681
2021-03-05,3684724,109406,0.0,3575318.0,6582.544321616659,2.969177610046234
2021-03-06,3689842,109541,0.0,3580301.0,6591.687329841436,2.968717901742134
2021-03-07,3694339,109602,0.0,3584737.0,6599.72095781854,2.9667553519046304
2021-03-08,3698242,109664,0.0,3588578.0,6606.693439471785,2.965300810493202
2021-03-09,3703136,109871,0.0,3593265.0,6615.436284773086,2.966971777434045
2021-03-10,3707999,110027,0.0,3597972.0,6624.123750384085,2.96728774738073
2021-03-11,3713743,110165,0.0,3603578.0,6634.385071064648,2.9664142079836973
2021-03-12,3719272,110310,0.0,3608962.0,6644.26230679634,2.965903004674033
2021-03-13,3723811,110416,0.0,3613395.0,6652.370965321596,2.9651343744352223
2021-03-14,3727585,110456,0.0,3617129.0,6659.112996005518,2.963205399742729
2021-03-15,3731849,110517,0.0,3621332.0,6666.730383084541,2.9614542281855454
2021-03-16,3736240,110618,0.0,3625622.0,6674.574648249643,2.9606770443012227
2021-03-17,3741067,110739,0.0,3630328.0,6683.197801962228,2.960091332232221
2021-03-18,3746280,110822,0.0,3635458.0,6692.510522141159,2.958187855686174
2021-03-19,3750089,110903,0.0,3639186.0,6699.315078281873,2.957343145722674
2021-03-20,3754821,110985,0.0,3643836.0,6707.768520040301,2.9558000234898016
2021-03-21,3759280,111011,0.0,3648269.0,6715.734263235746,2.952985678108574
2021-03-22,3764026,111027,0.0,3652999.0,6724.212715176895,2.9496873826057524
2021-03-23,3768609,111130,0.0,3657479.0,6732.399977133548,2.948833375921992
2021-03-24,3773224,111222,0.0,3662002.0,6740.644405222127,2.947664914672439
2021-03-25,3778510,111271,0.0,3667239.0,6750.087535639511,2.9448380446260565
2021-03-26,3783783,111332,0.0,3672451.0,6759.507442315799,2.9423463237717384
2021-03-27,3786746,111375,0.0,3675371.0,6764.800668843744,2.9411795773996987
2021-03-28,3789899,111392,0.0,3678507.0,6770.433319279991,2.9391812288401358
2021-03-29,3794011,111414,0.0,3682597.0,6777.779167232373,2.9365755660697874
2021-03-30,3797395,111453,0.0,3685942.0,6783.824485683457,2.934985694140325
2021-03-31,3800722,111489,0.0,3689233.0,6789.76797696205,2.933363713526009
2021-04-01,3804506,111530,0.0,3692976.0,6796.527872062196,2.9315238299006494
2021-04-02,3807387,111577,0.0,3695810.0,6801.674610377083,2.9305400265326327
2021-04-03,3810234,111585,0.0,3698649.0,6806.760609676797,2.92856029314735
2021-04-04,3812188,111595,0.0,3700593.0,6810.251316607476,2.9273215276896103
2021-04-05,3814424,111611,0.0,3702813.0,6814.245800075744,2.926025004037307
2021-04-06,3816361,111626,0.0,3704735.0,6817.706137498839,2.924932940044194
2021-04-07,3818665,111666,0.0,3706999.0,6821.822098997449,2.924215661756137
2021-04-08,3821151,111710,0.0,3709441.0,6826.2631928713845,2.9234646838086222
2021-04-09,3815779,111761,0.0,3704018.0,6816.666428474449,2.928917004889434
2021-04-11,3819149,111797,0.0,3707352.0,6822.686736742818,2.92727515998983
2021-04-12,3822371,111810,0.0,3710561.0,6828.442651651029,2.9251477682307656
2021-04-13,3824441,111828,0.0,3712613.0,6832.140585809937,2.9240351727219744
2021-04-14,3826495,111862,0.0,3714633.0,6835.809936902882,2.923354140015863
2021-04-15,3828666,111887,0.0,3716779.0,6839.6883016656775,2.922349455397781
2021-04-16,3830891,111917,0.0,3718974.0,6843.6631342760975,2.921435248353451
2021-04-17,3832788,111948,0.0,3720840.0,6847.052014034285,2.920798123976593
