,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
140,2021-03-29,United Kingdom,2021-03-30 04:26:23,52.3555,-1.1743,3794011,111414,0.0,3682597.0,"England, United Kingdom",6777.779167232373,2.9365755660697874
141,2021-03-30,United Kingdom,2021-03-31 04:26:25,52.3555,-1.1743,3797395,111453,0.0,3685942.0,"England, United Kingdom",6783.824485683457,2.9349856941403254
142,2021-03-31,United Kingdom,2021-04-01 04:27:05,52.3555,-1.1743,3800722,111489,0.0,3689233.0,"England, United Kingdom",6789.76797696205,2.933363713526009
143,2021-04-01,United Kingdom,2021-04-02 04:20:36,52.3555,-1.1743,3804506,111530,0.0,3692976.0,"England, United Kingdom",6796.527872062196,2.9315238299006494
144,2021-04-02,United Kingdom,2021-04-03 04:20:44,52.3555,-1.1743,3807387,111577,0.0,3695810.0,"England, United Kingdom",6801.674610377083,2.9305400265326327
145,2021-04-03,United Kingdom,2021-04-04 04:20:49,52.3555,-1.1743,3810234,111585,0.0,3698649.0,"England, United Kingdom",6806.760609676797,2.92856029314735
146,2021-04-04,United Kingdom,2021-04-05 04:20:35,52.3555,-1.1743,3812188,111595,0.0,3700593.0,"England, United Kingdom",6810.251316607476,2.9273215276896103
147,2021-04-05,United Kingdom,2021-04-06 04:20:32,52.3555,-1.1743,3814424,111611,0.0,3702813.0,"England, United Kingdom",6814.245800075743,2.926025004037307
148,2021-04-06,United Kingdom,2021-04-07 04:20:53,52.3555,-1.1743,3816361,111626,0.0,3704735.0,"England, United Kingdom",6817.706137498839,2.9249329400441937
149,2021-04-07,United Kingdom,2021-04-08 04:21:13,52.3555,-1.1743,3818665,111666,0.0,3706999.0,"England, United Kingdom",6821.822098997449,2.924215661756137
150,2021-04-08,United Kingdom,2021-04-09 04:21:13,52.3555,-1.1743,3821151,111710,0.0,3709441.0,"England, United Kingdom",6826.263192871385,2.9234646838086222
151,2021-04-09,United Kingdom,2021-04-10 04:20:59,52.3555,-1.1743,3815779,111761,0.0,3704018.0,"England, United Kingdom",6816.666428474449,2.9289170048894335
152,2021-04-10,United Kingdom,2021-04-11 04:20:56,52.3555,-1.1743,3817811,111794,0.0,3706017.0,"England, United Kingdom",6820.296477851697,2.9282224814167077
153,2021-04-11,United Kingdom,2021-04-12 04:21:00,52.3555,-1.1743,3819149,111797,0.0,3707352.0,"England, United Kingdom",6822.6867367428185,2.92727515998983
154,2021-04-12,United Kingdom,2021-04-13 04:20:37,52.3555,-1.1743,3822371,111810,0.0,3710561.0,"England, United Kingdom",6828.442651651029,2.9251477682307656
155,2021-04-13,United Kingdom,2021-04-14 04:20:41,52.3555,-1.1743,3824441,111828,0.0,3712613.0,"England, United Kingdom",6832.140585809937,2.9240351727219744
156,2021-04-14,United Kingdom,2021-04-15 04:20:54,52.3555,-1.1743,3826495,111862,0.0,3714633.0,"England, United Kingdom",6835.809936902882,2.923354140015863
157,2021-04-15,United Kingdom,2021-04-16 04:20:46,52.3555,-1.1743,3828666,111887,0.0,3716779.0,"England, United Kingdom",6839.6883016656775,2.9223494553977813
